filename,model_type,supert_score
langchain-openai_10023032.txt.json,langchain,0.5792866245495434
langchain-openai_10666450.txt.json,langchain,0.5895898487006677
langchain-openai_11250870.txt.json,langchain,0.5430021798368598
langchain-openai_11600250.txt.json,langchain,0.5024897173106031
langchain-openai_12202526.txt.json,langchain,0.5844099939645611
langchain-openai_12791683.txt.json,langchain,0.5805068121710923
langchain-openai_12920324.txt.json,langchain,0.6360895594143834
langchain-openai_14668458.txt.json,langchain,0.5899151979519702
langchain-openai_15070725.txt.json,langchain,0.6269578114808092
langchain-openai_15314218.txt.json,langchain,0.5503328915921294
langchain-openai_17329672.txt.json,langchain,0.6729533754037335
langchain-openai_17360565.txt.json,langchain,0.6084628097596757
langchain-openai_17634151.txt.json,langchain,0.5517200259322681
langchain-openai_17898283.txt.json,langchain,0.6678458990928031
langchain-openai_18177893.txt.json,langchain,0.6069854038972514
langchain-openai_18832739.txt.json,langchain,0.5896996679079781
langchain-openai_19538912.txt.json,langchain,0.5760173061981737
langchain-openai_19682250.txt.json,langchain,0.5643700568164921
langchain-openai_19716270.txt.json,langchain,0.5722301700546952
langchain-openai_20150519.txt.json,langchain,0.5302150595092782
langchain-openai_2018836.txt.json,langchain,0.6073901510337022
langchain-openai_20396475.txt.json,langchain,0.6111529885575632
langchain-openai_21768294.txt.json,langchain,0.5858394915287827
langchain-openai_22152042.txt.json,langchain,0.6107888226419819
langchain-openai_22629486.txt.json,langchain,0.6153477551584298
langchain-openai_22723755.txt.json,langchain,0.5223966210172992
langchain-openai_22919255.txt.json,langchain,0.5480308591748257
langchain-openai_22920823.txt.json,langchain,0.4809759240712519
langchain-openai_23872561.txt.json,langchain,0.6014945972456253
langchain-openai_23934175.txt.json,langchain,0.5574915254408428
langchain-openai_24192840.txt.json,langchain,0.5212260772185883
langchain-openai_24215626.txt.json,langchain,0.6202082676547118
langchain-openai_24300108.txt.json,langchain,0.5704244046461141
langchain-openai_24482640.txt.json,langchain,0.6518052472645984
langchain-openai_24532791.txt.json,langchain,0.57856951000296
langchain-openai_24552547.txt.json,langchain,0.5762259666875855
langchain-openai_24672735.txt.json,langchain,0.5693747870710346
langchain-openai_2478231.txt.json,langchain,0.6744925484087355
langchain-openai_25277158.txt.json,langchain,0.4702862919749177
langchain-openai_25426027.txt.json,langchain,0.5994414664370125
langchain-openai_25526801.txt.json,langchain,0.6031777940935154
langchain-openai_25904064.txt.json,langchain,0.6737981213079397
langchain-openai_26009832.txt.json,langchain,0.6355072585442687
langchain-openai_26061748.txt.json,langchain,0.5595751801548619
langchain-openai_26135587.txt.json,langchain,0.4921319734359567
langchain-openai_26362109.txt.json,langchain,0.6115442085062873
langchain-openai_26388769.txt.json,langchain,0.608223500084516
langchain-openai_26425313.txt.json,langchain,0.49977525139544077
langchain-openai_26620827.txt.json,langchain,0.5528087374250524
langchain-openai_26693196.txt.json,langchain,0.495659857320661
