filename,model_type,doc_id,bleu_score
langchain-openai_10023032.txt.json,langchain,10023032,14.663674648984525
langchain-openai_10666450.txt.json,langchain,10666450,3.5487570634612524
langchain-openai_11250870.txt.json,langchain,11250870,1.462700009444748
langchain-openai_11600250.txt.json,langchain,11600250,7.598706386969253
langchain-openai_12202526.txt.json,langchain,12202526,1.9106438325275847
langchain-openai_12791683.txt.json,langchain,12791683,4.39284386032057
langchain-openai_12920324.txt.json,langchain,12920324,8.885034949773983
langchain-openai_14668458.txt.json,langchain,14668458,0.5618553251976687
langchain-openai_15070725.txt.json,langchain,15070725,10.835855335443025
langchain-openai_15314218.txt.json,langchain,15314218,14.244759670099324
langchain-openai_17329672.txt.json,langchain,17329672,4.415955059400929
langchain-openai_17360565.txt.json,langchain,17360565,7.3463709662962415
langchain-openai_17634151.txt.json,langchain,17634151,5.198009790080318
langchain-openai_17898283.txt.json,langchain,17898283,6.292182314455288
langchain-openai_18177893.txt.json,langchain,18177893,5.836655943073846
langchain-openai_18832739.txt.json,langchain,18832739,3.4596029937482147
langchain-openai_19538912.txt.json,langchain,19538912,9.296910546903295
langchain-openai_19682250.txt.json,langchain,19682250,6.651661963998461
langchain-openai_19716270.txt.json,langchain,19716270,1.152580231052516
langchain-openai_20150519.txt.json,langchain,20150519,10.436310415010926
langchain-openai_2018836.txt.json,langchain,2018836,4.044702222653499
langchain-openai_20396475.txt.json,langchain,20396475,4.496401064998674
langchain-openai_21768294.txt.json,langchain,21768294,6.276902865991319
langchain-openai_22152042.txt.json,langchain,22152042,6.651371105081022
langchain-openai_22629486.txt.json,langchain,22629486,4.438815449827253
langchain-openai_22723755.txt.json,langchain,22723755,2.187950078099048
langchain-openai_22919255.txt.json,langchain,22919255,2.4316146388689326
langchain-openai_22920823.txt.json,langchain,22920823,4.006537504218926
langchain-openai_23872561.txt.json,langchain,23872561,7.626992517517249
langchain-openai_23934175.txt.json,langchain,23934175,5.072828242748855
langchain-openai_24192840.txt.json,langchain,24192840,6.488623853270304
langchain-openai_24215626.txt.json,langchain,24215626,7.482992224624188
langchain-openai_24300108.txt.json,langchain,24300108,3.3520799698651196
langchain-openai_24482640.txt.json,langchain,24482640,11.288271906109275
langchain-openai_24532791.txt.json,langchain,24532791,5.947237870229401
